finding_id,issue,affected_url,proposed_value,unavailable_reason,approval_status
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,withheld_pending_editorial_review
